"Source:","C:\Users\Anton Gale\Documents\exerion\exerion.kicad_sch"
"Date:","9/8/2022 7:40:35 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","248"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U7L1","74LS175","jt74:74LS175","","http://www.ti.com/lit/gpn/sn74LS175"
"","","U7M1","74LS157","74xx:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U7N_1","74LS86","74xx:74LS86","","74xx/74ls86.pdf"
"","","U7R1","74LS157","74xx:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U7S_1","74LS86","74xx:74LS86","","74xx/74ls86.pdf"
"","","U7T_1","74LS08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"","","U7U_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U7V1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U8A1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U8B1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U8C1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U8D1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U8E1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U8H1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U8H2","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U8H3","74LS161","74xx:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U8J_1","74LS86","74xx:74LS86","","74xx/74ls86.pdf"
"","","U8K1","74LS253","jt74:74LS253","","http://www.ti.com/lit/gpn/sn74LS253"
"","","U8L1","82S126-9 / 6301","arcade:82S126-9","",""
"","","U8M1","74LS157","74xx:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U8N_1","74LS86","74xx:74LS86","","74xx/74ls86.pdf"
"","","U8R1","74LS161","74xx:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U8S1","74LS161","74xx:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U8T_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U8U_1","74LS125","jt74:74LS125","","http://www.ti.com/lit/gpn/sn74LS125"
"","","U8V_1","74LS00","74xx:74LS00","","http://www.ti.com/lit/gpn/sn74ls00"
"","","U9_C1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9_D1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U9_P1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9A1","74LS298","jt74:74LS298","","http://www.ti.com/lit/gpn/sn74LS298"
"","","U9B_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U9C_1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9C_2","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9D_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U9E_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U9F_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U9H1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U9J_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"","","U9K_1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9M_1","74LS74","74xx:74LS74","","74xx/74hc_hct74.pdf"
"","","U9N1","74LS161","74xx:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U9P_1","74LS04","74xx:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U9R1","74LS138","74xx:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U9S1","74LS138","74xx:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U9T_1","74LS32","74xx:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U9U_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"","","U9U_2","74LS86","74xx:74LS86","","74xx/74ls86.pdf"
"","","U10A1","HM2511-1",":HM2511-1_1","",""
"","","U10B1","HM2511-1","arcade:HM2511-1","",""
"","","U10C1","HM2511-1",":HM2511-1_2","",""
"","","U10D1","HM2511-1",":HM2511-1_2","",""
"","","U10E1","74LS298","jt74:74LS298","","http://www.ti.com/lit/gpn/sn74LS298"
"","","U10F1","74LS298","jt74:74LS298","","http://www.ti.com/lit/gpn/sn74LS298"
